New longest chain: 2, 2 terms
New longest chain: 3, 8 terms
New longest chain: 6, 9 terms
New longest chain: 7, 17 terms
New longest chain: 9, 20 terms
New longest chain: 18, 21 terms
New longest chain: 25, 24 terms
New longest chain: 27, 112 terms
New longest chain: 54, 113 terms
New longest chain: 73, 116 terms
New longest chain: 97, 119 terms
New longest chain: 129, 122 terms
New longest chain: 171, 125 terms
New longest chain: 231, 128 terms
New longest chain: 313, 131 terms
New longest chain: 327, 144 terms
New longest chain: 649, 145 terms
New longest chain: 703, 171 terms
New longest chain: 871, 179 terms
New longest chain: 1161, 182 terms
New longest chain: 2223, 183 terms
New longest chain: 2463, 209 terms
New longest chain: 2919, 217 terms
New longest chain: 3711, 238 terms
New longest chain: 6171, 262 terms
New longest chain: 10971, 268 terms
New longest chain: 13255, 276 terms
New longest chain: 17647, 279 terms
New longest chain: 23529, 282 terms
New longest chain: 26623, 308 terms
New longest chain: 34239, 311 terms
New longest chain: 35655, 324 terms
New longest chain: 52527, 340 terms
New longest chain: 77031, 351 terms
New longest chain: 106239, 354 terms
New longest chain: 142587, 375 terms
New longest chain: 156159, 383 terms
New longest chain: 216367, 386 terms
New longest chain: 230631, 443 terms
New longest chain: 410011, 449 terms
New longest chain: 511935, 470 terms
New longest chain: 626331, 509 terms
New longest chain: 837799, 525 terms
Number under 1M with longest chain: 837799
Chain length: 525 terms
